# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
0.196231      	DILUPBiCGStab	1.166550e-02	3.998400e-08	5	8.604860e-02	7.270220e-08	5	2.275740e-02	6.165600e-08	5	false	DILUPBiCGStab	9.164590e-03	2.133500e-08	6	true	DICPCG	1.477340e-02	1.460350e-04	32	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.205399      	DILUPBiCGStab	1.062790e-02	3.608230e-08	5	8.010340e-02	6.761020e-08	5	2.097030e-02	5.607690e-08	5	false	DILUPBiCGStab	8.368020e-03	1.994530e-08	6	true	DICPCG	1.347710e-02	1.326610e-04	33	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.214566      	DILUPBiCGStab	9.665460e-03	3.226850e-08	5	7.447390e-02	6.274260e-08	5	1.930630e-02	5.093650e-08	5	false	DILUPBiCGStab	7.640690e-03	1.860910e-08	6	true	DICPCG	1.229350e-02	9.997070e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.223734      	DILUPBiCGStab	8.840090e-03	9.045860e-08	4	6.922760e-02	5.808140e-08	5	1.786900e-02	4.589950e-08	5	false	DILUPBiCGStab	6.976710e-03	1.732940e-08	6	true	DICPCG	1.136470e-02	9.255110e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.232901      	DILUPBiCGStab	8.086290e-03	7.845240e-08	4	6.423300e-02	5.353290e-08	5	1.642880e-02	4.108670e-08	5	false	DILUPBiCGStab	6.370730e-03	1.610800e-08	6	true	DICPCG	1.042840e-02	8.564450e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.242069      	DILUPBiCGStab	7.343640e-03	8.251670e-08	4	5.932860e-02	4.946390e-08	5	1.495200e-02	3.752960e-08	5	false	DILUPBiCGStab	5.817350e-03	1.494610e-08	6	true	DICPCG	9.340020e-03	7.829770e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.251236      	DILUPBiCGStab	6.712720e-03	6.930990e-08	4	5.478920e-02	4.562020e-08	5	1.377400e-02	3.386590e-08	5	false	DILUPBiCGStab	5.311760e-03	9.267400e-08	5	true	DICPCG	8.625570e-03	7.204720e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.260404      	DILUPBiCGStab	6.164800e-03	5.567740e-08	4	5.067260e-02	4.190010e-08	5	1.268750e-02	3.037970e-08	5	false	DILUPBiCGStab	4.850120e-03	8.553290e-08	5	true	DICPCG	7.988420e-03	6.674690e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.269571      	DILUPBiCGStab	5.600220e-03	6.324740e-08	4	4.660430e-02	3.868960e-08	5	1.153760e-02	9.734780e-08	4	false	DILUPBiCGStab	4.428700e-03	7.885840e-08	5	true	DICPCG	7.098120e-03	6.073390e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.278739      	DILUPBiCGStab	5.102100e-03	5.805270e-08	4	4.284370e-02	3.581790e-08	5	1.053680e-02	8.850260e-08	4	false	DILUPBiCGStab	4.043880e-03	7.264800e-08	5	true	DICPCG	6.469610e-03	5.572260e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
