# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.0663636     	DICPCG	2.327380e-02	6.797950e-07	13	true
0.0672727     	DICPCG	2.290880e-02	6.694100e-07	13	true
0.0681818     	DICPCG	2.254710e-02	6.591220e-07	13	true
0.0690909     	DICPCG	2.218760e-02	6.488950e-07	13	true
0.07          	DICPCG	2.183250e-02	6.387980e-07	13	true
0.0709091     	DICPCG	2.147990e-02	6.287680e-07	13	true
0.0718182     	DICPCG	2.112860e-02	6.187680e-07	13	true
0.0727273     	DICPCG	2.078260e-02	6.089180e-07	13	true
0.0736364     	DICPCG	2.043840e-02	5.991140e-07	13	true
0.0745455     	DICPCG	2.009840e-02	5.894300e-07	13	true
0.0754545     	DICPCG	1.976410e-02	5.799040e-07	13	true
0.0763636     	DICPCG	1.943390e-02	5.704890e-07	13	true
0.0772727     	DICPCG	1.910950e-02	5.612340e-07	13	true
0.0781818     	DICPCG	1.879120e-02	5.521410e-07	13	true
0.0790909     	DICPCG	1.847760e-02	5.431810e-07	13	true
0.08          	DICPCG	1.817040e-02	5.344030e-07	13	true
0.0809091     	DICPCG	1.786910e-02	5.257880e-07	13	true
0.0818182     	DICPCG	1.757220e-02	5.172910e-07	13	true
0.0827273     	DICPCG	1.728160e-02	5.089640e-07	13	true
0.0836364     	DICPCG	1.699610e-02	5.007820e-07	13	true
0.0845455     	DICPCG	1.671480e-02	4.927130e-07	13	true
0.0854545     	DICPCG	1.643890e-02	4.847920e-07	13	true
0.0863636     	DICPCG	1.616710e-02	4.769870e-07	13	true
0.0872727     	DICPCG	1.590020e-02	4.693140e-07	13	true
