# Region type : patch inlet
# Faces       : 460
# Area        : 1.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
19.9451       	2.931500e+02
19.9542       	2.931500e+02
19.9634       	2.931500e+02
19.9725       	2.931500e+02
19.9817       	2.931500e+02
19.9908       	2.931500e+02
20            	2.931500e+02
20.0092       	2.931500e+02
20.0183       	2.931500e+02
20.0275       	2.931500e+02
20.0366       	2.931500e+02
20.0458       	2.931500e+02
20.0549       	2.931500e+02
20.0641       	2.931500e+02
20.0733       	2.931500e+02
20.0824       	2.931500e+02
20.0916       	2.931500e+02
20.1007       	2.931500e+02
20.1099       	2.931500e+02
20.119        	2.931500e+02
20.1282       	2.931500e+02
20.1374       	2.931500e+02
20.1465       	2.931500e+02
20.1557       	2.931500e+02
20.1648       	2.931500e+02
20.174        	2.931500e+02
20.1832       	2.931500e+02
20.1923       	2.931500e+02
20.2015       	2.931500e+02
20.2106       	2.931500e+02
20.2198       	2.931500e+02
20.2289       	2.931500e+02
20.2381       	2.931500e+02
20.2473       	2.931500e+02
20.2564       	2.931500e+02
20.2656       	2.931500e+02
20.2747       	2.931500e+02
20.2839       	2.931500e+02
20.293        	2.931500e+02
20.3022       	2.931500e+02
20.3114       	2.931500e+02
20.3205       	2.931500e+02
20.3297       	2.931500e+02
20.3388       	2.931500e+02
20.348        	2.931500e+02
20.3571       	2.931500e+02
20.3663       	2.931500e+02
20.3755       	2.931500e+02
20.3846       	2.931500e+02
20.3938       	2.931500e+02
20.4029       	2.931500e+02
20.4121       	2.931500e+02
20.4212       	2.931500e+02
20.4304       	2.931500e+02
20.4396       	2.931500e+02
20.4487       	2.931500e+02
20.4579       	2.931500e+02
20.467        	2.931500e+02
20.4762       	2.931500e+02
20.4853       	2.931500e+02
20.4945       	2.931500e+02
20.5037       	2.931500e+02
20.5128       	2.931500e+02
20.522        	2.931500e+02
20.5311       	2.931500e+02
20.5403       	2.931500e+02
20.5495       	2.931500e+02
20.5586       	2.931500e+02
20.5678       	2.931500e+02
20.5769       	2.931500e+02
20.5861       	2.931500e+02
20.5952       	2.931500e+02
20.6044       	2.931500e+02
20.6136       	2.931500e+02
20.6227       	2.931500e+02
20.6319       	2.931500e+02
20.641        	2.931500e+02
20.6502       	2.931500e+02
20.6593       	2.931500e+02
20.6685       	2.931500e+02
20.6777       	2.931500e+02
20.6868       	2.931500e+02
20.696        	2.931500e+02
20.7051       	2.931500e+02
20.7143       	2.931500e+02
20.7234       	2.931500e+02
20.7326       	2.931500e+02
20.7418       	2.931500e+02
20.7509       	2.931500e+02
20.7601       	2.931500e+02
20.7692       	2.931500e+02
20.7784       	2.931500e+02
20.7875       	2.931500e+02
20.7967       	2.931500e+02
20.8059       	2.931500e+02
20.815        	2.931500e+02
20.8242       	2.931500e+02
20.8333       	2.931500e+02
20.8425       	2.931500e+02
20.8516       	2.931500e+02
20.8608       	2.931500e+02
20.87         	2.931500e+02
20.8791       	2.931500e+02
20.8883       	2.931500e+02
20.8974       	2.931500e+02
20.9066       	2.931500e+02
20.9158       	2.931500e+02
20.9249       	2.931500e+02
20.9341       	2.931500e+02
20.9432       	2.931500e+02
20.9524       	2.931500e+02
20.9615       	2.931500e+02
20.9707       	2.931500e+02
20.9799       	2.931500e+02
20.989        	2.931500e+02
20.9982       	2.931500e+02
21.0073       	2.931500e+02
21.0165       	2.931500e+02
21.0256       	2.931500e+02
21.0348       	2.931500e+02
21.044        	2.931500e+02
21.0531       	2.931500e+02
21.0623       	2.931500e+02
21.0714       	2.931500e+02
21.0806       	2.931500e+02
21.0897       	2.931500e+02
21.0989       	2.931500e+02
21.1081       	2.931500e+02
21.1172       	2.931500e+02
21.1264       	2.931500e+02
21.1355       	2.931500e+02
21.1447       	2.931500e+02
21.1538       	2.931500e+02
21.163        	2.931500e+02
21.1722       	2.931500e+02
21.1813       	2.931500e+02
21.1905       	2.931500e+02
21.1996       	2.931500e+02
21.2088       	2.931500e+02
21.2179       	2.931500e+02
